Plain Rice,chicken, ,Special Fried Rice,Curry,Lamb,,,
Plain Rice,egg curry,,,,,,,
chicken,coke,Special Fried Rice,Curry,prawn,,,,
Plain Rice, ,prawn,Lamb,,,,,
chicken, ,Special Fried Rice,,,,,,
 ,prawn,Lamb,,,,,,
Plain Rice,chicken,egg curry,Special Fried Rice,Curry,N.veg Biryani,Lamb,,
coke,prawn,Lamb,,,,,,
Plain Rice, ,N.veg Biryani,,,,,,
egg curry, ,coke,Special Fried Rice,Curry,,,,
chicken,N.veg Biryani,prawn,,,,,,
Plain Rice,chicken,Special Fried Rice,Lamb,,,,,
Plain Rice, ,coke,Special Fried Rice,Curry,prawn,,,
Plain Rice,chicken, ,coke,prawn,,,,
 ,prawn,,,,,,,
Plain Rice,egg curry,coke,Special Fried Rice,N.veg Biryani,,,,
Plain Rice,chicken,egg curry, ,coke,Special Fried Rice,Curry,Lamb,
chicken,prawn,,,,,,,
coke,Lamb,,,,,,,
Plain Rice,egg curry,coke,Curry,N.veg Biryani,Lamb,,,
Plain Rice,egg curry,coke,Special Fried Rice,N.veg Biryani,Lamb,,,
Plain Rice,chicken, ,coke,Curry,,,,
 ,N.veg Biryani,prawn,,,,,,
Plain Rice,chicken,egg curry, ,coke,prawn,,,
Plain Rice,chicken,egg curry, ,N.veg Biryani,prawn,Lamb,,
chicken,egg curry, ,coke,Special Fried Rice,N.veg Biryani,Lamb,,
chicken,egg curry,Curry,,,,,,
chicken,egg curry, ,,,,,,
 ,Curry,Lamb,,,,,,
Plain Rice,chicken,prawn,,,,,,
chicken,egg curry, ,coke,N.veg Biryani,Lamb,,,
Plain Rice,chicken,coke,Lamb,,,,,
Plain Rice,chicken,egg curry,coke,Curry,N.veg Biryani,prawn,Lamb,
chicken,Special Fried Rice,,,,,,,
Plain Rice, ,Special Fried Rice,N.veg Biryani,Lamb,,,,
Plain Rice,egg curry,Special Fried Rice,,,,,,
Plain Rice,Curry,,,,,,,
 ,coke,Curry,,,,,,
Plain Rice,Special Fried Rice,N.veg Biryani,,,,,,
coke,Special Fried Rice,Curry,N.veg Biryani,Lamb,,,,
Plain Rice,chicken,Special Fried Rice,Curry,N.veg Biryani,,,,
Plain Rice,chicken, ,coke,Curry,N.veg Biryani,Lamb,,
Plain Rice,chicken,egg curry, ,coke,N.veg Biryani,prawn,,
Plain Rice,chicken,egg curry, ,Special Fried Rice,N.veg Biryani,prawn,Lamb,
Plain Rice,Curry,N.veg Biryani,,,,,,
egg curry, ,coke,prawn,,,,,
Plain Rice,chicken,coke,N.veg Biryani,prawn,,,,
 ,coke,N.veg Biryani,prawn,,,,,
Plain Rice,Special Fried Rice,N.veg Biryani,prawn,Lamb,,,,
Plain Rice,chicken,egg curry,Special Fried Rice,,,,,
coke,Curry,N.veg Biryani,prawn,Lamb,,,,
Plain Rice,egg curry,coke,N.veg Biryani,prawn,,,,
chicken,egg curry,N.veg Biryani,prawn,,,,,
egg curry,coke,prawn,,,,,,
chicken, ,Curry,prawn,Lamb,,,,
Plain Rice,chicken,coke,Special Fried Rice,Lamb,,,,
egg curry,Special Fried Rice,N.veg Biryani,prawn,,,,,
egg curry,Special Fried Rice,Curry,prawn,,,,,
 ,N.veg Biryani,prawn,Lamb,,,,,
Plain Rice,egg curry, ,coke,prawn,,,,
 ,coke,Curry,prawn,Lamb,,,,
Plain Rice,coke,Special Fried Rice,Curry,N.veg Biryani,prawn,,,
Plain Rice,chicken,egg curry,Special Fried Rice,,,,,
Plain Rice,coke,N.veg Biryani,prawn,Lamb,,,,
egg curry,Curry,,,,,,,
chicken,coke,Special Fried Rice,prawn,Lamb,,,,
Plain Rice,coke,Special Fried Rice,Curry,N.veg Biryani,,,,
chicken,Special Fried Rice,,,,,,,
Plain Rice,egg curry, ,coke,prawn,Lamb,,,
chicken,egg curry, ,Curry,Lamb,,,,
Special Fried Rice,N.veg Biryani,prawn,Lamb,,,,,
 ,Special Fried Rice,Curry,N.veg Biryani,Lamb,,,,
Plain Rice, ,Special Fried Rice,N.veg Biryani,prawn,,,,
Plain Rice,chicken, ,Curry,N.veg Biryani,,,,
Plain Rice,egg curry,coke,Curry,N.veg Biryani,,,,
Plain Rice,chicken,egg curry,coke,Curry,prawn,Lamb,,
Plain Rice,chicken, ,Special Fried Rice,prawn,,,,
Plain Rice,Lamb,,,,,,,
egg curry,coke,prawn,,,,,,
chicken,egg curry, ,Curry,Lamb,,,,
Plain Rice, ,coke,Curry,prawn,Lamb,,,
egg curry, ,,,,,,,
chicken,prawn,,,,,,,
 ,Curry,,,,,,,
Plain Rice,chicken,egg curry,coke,Curry,prawn,Lamb,,
chicken,egg curry,Special Fried Rice,,,,,,
 ,Lamb,,,,,,,
Plain Rice,egg curry,Special Fried Rice,N.veg Biryani,,,,,
Plain Rice,chicken,coke,N.veg Biryani,prawn,Lamb,,,
Plain Rice, ,N.veg Biryani,prawn,,,,,
Plain Rice,egg curry,coke,Curry,prawn,Lamb,,,
chicken, ,prawn,,,,,,
chicken,Special Fried Rice,Curry,N.veg Biryani,prawn,,,,
Plain Rice,chicken,egg curry,,,,,,
chicken,egg curry, ,Special Fried Rice,Curry,N.veg Biryani,prawn,Lamb,
chicken,egg curry,Special Fried Rice,prawn,Lamb,,,,
Plain Rice,chicken,egg curry,Curry,Lamb,,,,
chicken,egg curry,Lamb,,,,,,
Plain Rice,egg curry, ,coke,Special Fried Rice,N.veg Biryani,prawn,,
chicken,egg curry, ,Special Fried Rice,N.veg Biryani,Lamb,,,
Special Fried Rice,N.veg Biryani,prawn,Lamb,,,,,
